Total Timesteps: 1090	 Episode Num: 3	 Reward: -440
Total Timesteps: 1100	 Episode Num: 3	 Reward: -490
Total Timesteps: 1110	 Episode Num: 3	 Reward: -540
Total Timesteps: 1120	 Episode Num: 3	 Reward: -590
Total Timesteps: 1130	 Episode Num: 3	 Reward: -640
Total Timesteps: 1140	 Episode Num: 3	 Reward: -690
Total Timesteps: 1150	 Episode Num: 6	 Reward: 36
Total Timesteps: 1160	 Episode Num: 6	 Reward: -14
Total Timesteps: 1170	 Episode Num: 6	 Reward: -64
Total Timesteps: 1180	 Episode Num: 6	 Reward: -114
Total Timesteps: 1190	 Episode Num: 6	 Reward: -164
Total Timesteps: 1200	 Episode Num: 6	 Reward: -214
Total Timesteps: 1210	 Episode Num: 6	 Reward: -264
Total Timesteps: 1220	 Episode Num: 6	 Reward: -314
Total Timesteps: 1230	 Episode Num: 6	 Reward: -364
Total Timesteps: 1240	 Episode Num: 6	 Reward: -414
Total Timesteps: 1250	 Episode Num: 6	 Reward: -464
Total Timesteps: 1260	 Episode Num: 6	 Reward: -514
Total Timesteps: 1270	 Episode Num: 6	 Reward: -564
Total Timesteps: 1280	 Episode Num: 6	 Reward: -614
Total Timesteps: 1290	 Episode Num: 6	 Reward: -664
Total Timesteps: 1300	 Episode Num: 6	 Reward: -714
Total Timesteps: 1310	 Episode Num: 6	 Reward: -764
Total Timesteps: 1320	 Episode Num: 6	 Reward: -814
Total Timesteps: 1330	 Episode Num: 6	 Reward: -864
Total Timesteps: 1340	 Episode Num: 6	 Reward: -914
Total Timesteps: 1350	 Episode Num: 6	 Reward: -964
Total Timesteps: 1360	 Episode Num: 6	 Reward: -1014
Total Timesteps: 1370	 Episode Num: 6	 Reward: -1064
Total Timesteps: 1380	 Episode Num: 6	 Reward: -1114
Total Timesteps: 1390	 Episode Num: 6	 Reward: -1164
Total Timesteps: 1400	 Episode Num: 6	 Reward: -1214
Total Timesteps: 1410	 Episode Num: 6	 Reward: -1264
Total Timesteps: 1420	 Episode Num: 6	 Reward: -1314
Total Timesteps: 1430	 Episode Num: 6	 Reward: -1364
Total Timesteps: 1440	 Episode Num: 6	 Reward: -1414
Total Timesteps: 1450	 Episode Num: 6	 Reward: -1464
Total Timesteps: 1460	 Episode Num: 6	 Reward: -1514
Total Timesteps: 1470	 Episode Num: 6	 Reward: -1564
Total Timesteps: 1480	 Episode Num: 6	 Reward: -1614
Total Timesteps: 1490	 Episode Num: 6	 Reward: -1664
Total Timesteps: 1500	 Episode Num: 6	 Reward: -1714
Total Timesteps: 1510	 Episode Num: 6	 Reward: -1764
Total Timesteps: 1520	 Episode Num: 6	 Reward: -1814
Total Timesteps: 1530	 Episode Num: 6	 Reward: -1864
Total Timesteps: 1540	 Episode Num: 6	 Reward: -1914
Total Timesteps: 1550	 Episode Num: 6	 Reward: -1964
Total Timesteps: 1560	 Episode Num: 6	 Reward: -2014
Total Timesteps: 1570	 Episode Num: 6	 Reward: -2064
Total Timesteps: 1580	 Episode Num: 6	 Reward: -2114
Total Timesteps: 1590	 Episode Num: 6	 Reward: -2164
Total Timesteps: 1600	 Episode Num: 6	 Reward: -2214
Total Timesteps: 1610	 Episode Num: 6	 Reward: -2264
Total Timesteps: 1620	 Episode Num: 6	 Reward: -2314
Total Timesteps: 1630	 Episode Num: 6	 Reward: -2364
Total Timesteps: 1640	 Episode Num: 6	 Reward: -2380
Total Timesteps: 1650	 Episode Num: 7	 Reward: -10
Total Timesteps: 1660	 Episode Num: 7	 Reward: -60
Total Timesteps: 1670	 Episode Num: 7	 Reward: -110
Total Timesteps: 1680	 Episode Num: 7	 Reward: -160
Total Timesteps: 1690	 Episode Num: 7	 Reward: -210
Total Timesteps: 1700	 Episode Num: 7	 Reward: -260
Total Timesteps: 1710	 Episode Num: 7	 Reward: -310
Total Timesteps: 1720	 Episode Num: 7	 Reward: -360
Total Timesteps: 1730	 Episode Num: 7	 Reward: -410
Total Timesteps: 1740	 Episode Num: 7	 Reward: -460
Total Timesteps: 1750	 Episode Num: 7	 Reward: -510
Total Timesteps: 1760	 Episode Num: 7	 Reward: -560
